Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
National	Low	Azerbaijan	Local Currency	Energy	483.1324615
National	All	Azerbaijan	US$	Energy	905.8473838
National	All	Azerbaijan	$PPP	Energy	1406.954447
National	All	Azerbaijan	Local Currency	Energy	727.3954492
Rural	Higher	Azerbaijan	US$	Energy	2.440360724
Rural	Higher	Azerbaijan	$PPP	Energy	3.790347507
Rural	Higher	Azerbaijan	Local Currency	Energy	1.959609661
Rural	Middle	Azerbaijan	US$	Energy	55.2980488
Rural	Middle	Azerbaijan	$PPP	Energy	85.88845877
Rural	Middle	Azerbaijan	Local Currency	Energy	44.40433318
Rural	Lowest	Azerbaijan	US$	Energy	78.28211099
Rural	Lowest	Azerbaijan	$PPP	Energy	121.5871086
Rural	Lowest	Azerbaijan	Local Currency	Energy	62.86053512
Rural	Low	Azerbaijan	US$	Energy	336.8775463
Rural	Low	Azerbaijan	$PPP	Energy	523.2353379
Rural	Low	Azerbaijan	Local Currency	Energy	270.5126697
Rural	All	Azerbaijan	US$	Energy	472.8980666
Rural	All	Azerbaijan	$PPP	Energy	734.5012524
Rural	All	Azerbaijan	Local Currency	Energy	379.7371475
Urban	Higher	Azerbaijan	US$	Energy	9.674805976
Urban	Higher	Azerbaijan	$PPP	Energy	15.0268263
Urban	Higher	Azerbaijan	Local Currency	Energy	7.768869199
Urban	Middle	Azerbaijan	US$	Energy	102.1521433
Urban	Middle	Azerbaijan	$PPP	Energy	158.6618396
Urban	Middle	Azerbaijan	Local Currency	Energy	82.02817105
Urban	Lowest	Azerbaijan	US$	Energy	56.3405602
Urban	Lowest	Azerbaijan	$PPP	Energy	87.50767861
Urban	Lowest	Azerbaijan	Local Currency	Energy	45.24146984
Urban	Low	Azerbaijan	US$	Energy	264.7818081
Urban	Low	Azerbaijan	$PPP	Energy	411.2568509
Urban	Low	Azerbaijan	Local Currency	Energy	212.6197919
Urban	All	Azerbaijan	US$	Energy	432.9493173
Urban	All	Azerbaijan	$PPP	Energy	672.453195
Urban	All	Azerbaijan	Local Currency	Energy	347.6583018
National	Higher	Bangladesh	US$	Energy	1.620738308
National	Higher	Bangladesh	$PPP	Energy	3.418929715
National	Higher	Bangladesh	Local Currency	Energy	112.8828024
National	Middle	Bangladesh	US$	Energy	41.80584289
National	Middle	Bangladesh	$PPP	Energy	88.18896785
National	Middle	Bangladesh	Local Currency	Energy	2911.735151
National	Lowest	Bangladesh	US$	Energy	2639.361986
National	Lowest	Bangladesh	$PPP	Energy	5567.705212
National	Lowest	Bangladesh	Local Currency	Energy	183828.923
National	Low	Bangladesh	US$	Energy	792.8760477
National	Low	Bangladesh	$PPP	Energy	1672.563341
National	Low	Bangladesh	Local Currency	Energy	55223.02384
National	All	Bangladesh	US$	Energy	3475.664615
National	All	Bangladesh	$PPP	Energy	7331.876451
National	All	Bangladesh	Local Currency	Energy	242076.5648
Rural	Higher	Bangladesh	US$	Energy	0
Rural	Higher	Bangladesh	$PPP	Energy	0
Rural	Higher	Bangladesh	Local Currency	Energy	0
Rural	Middle	Bangladesh	US$	Energy	6.538246903
Rural	Middle	Bangladesh	$PPP	Energy	13.79236026
Rural	Middle	Bangladesh	Local Currency	Energy	455.3823586
Rural	Lowest	Bangladesh	US$	Energy	2014.72454
Rural	Lowest	Bangladesh	$PPP	Energy	4250.039358
Rural	Lowest	Bangladesh	Local Currency	Energy	140323.5495
Rural	Low	Bangladesh	US$	Energy	267.7167865
Rural	Low	Bangladesh	$PPP	Energy	564.7456298
Rural	Low	Bangladesh	Local Currency	Energy	18646.20646
Rural	All	Bangladesh	US$	Energy	2288.979573
Rural	All	Bangladesh	$PPP	Energy	4828.577348
Rural	All	Bangladesh	Local Currency	Energy	159425.1383
Urban	Higher	Bangladesh	US$	Energy	1.620738308
Urban	Higher	Bangladesh	$PPP	Energy	3.418929715
Urban	Higher	Bangladesh	Local Currency	Energy	112.8828024
Urban	Middle	Bangladesh	US$	Energy	35.26759599
Urban	Middle	Bangladesh	$PPP	Energy	74.39660759
Urban	Middle	Bangladesh	Local Currency	Energy	2456.352793
Urban	Lowest	Bangladesh	US$	Energy	624.6374463
Urban	Lowest	Bangladesh	$PPP	Energy	1317.665854
Urban	Lowest	Bangladesh	Local Currency	Energy	43505.3735
Urban	Low	Bangladesh	US$	Energy	525.1592612
Urban	Low	Bangladesh	$PPP	Energy	1107.817712
Urban	Low	Bangladesh	Local Currency	Energy	36576.81738
Urban	All	Bangladesh	US$	Energy	1186.685042
Urban	All	Bangladesh	$PPP	Energy	2503.299103
Urban	All	Bangladesh	Local Currency	Energy	82651.42648
National	Higher	Belarus	US$	Energy	2.761166359
National	Higher	Belarus	$PPP	Energy	7.454675135
National	Higher	Belarus	Local Currency	Energy	8224.161612
National	Middle	Belarus	US$	Energy	44.577621
National	Middle	Belarus	$PPP	Energy	120.3519237
National	Middle	Belarus	Local Currency	Energy	132774.8899
National	Lowest	Belarus	US$	Energy	0.250341544
National	Lowest	Belarus	$PPP	Energy	0.675879191
National	Lowest	Belarus	Local Currency	Energy	745.6447931
National	Low	Belarus	US$	Energy	13.17330501
National	Low	Belarus	$PPP	Energy	35.56566195
