Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
Urban,Low,Bhutan,Local Currency,Energy,293.256703604
Urban,All,Bhutan,US$,Energy,10.998490956
Urban,All,Bhutan,$PPP,Energy,22.762605117
Urban,All,Bhutan,Local Currency,Energy,502.916997463
National,Higher,Bolivia,US$,Energy,42.636409890
National,Higher,Bolivia,$PPP,Energy,94.917413769
National,Higher,Bolivia,Local Currency,Energy,299.179688199
National,Middle,Bolivia,US$,Energy,167.865066067
National,Middle,Bolivia,$PPP,Energy,373.702147397
National,Middle,Bolivia,Local Currency,Energy,1177.909168596
National,Lowest,Bolivia,US$,Energy,20.822948142
National,Lowest,Bolivia,$PPP,Energy,46.356163423
National,Lowest,Bolivia,Local Currency,Energy,146.114627111
National,Low,Bolivia,US$,Energy,181.008092766
National,Low,Bolivia,$PPP,Energy,402.961226821
National,Low,Bolivia,Local Currency,Energy,1270.133786938
National,All,Bolivia,US$,Energy,412.332516852
National,All,Bolivia,$PPP,Energy,917.936951380
National,All,Bolivia,Local Currency,Energy,2893.337270751
Rural,Higher,Bolivia,US$,Energy,0
Rural,Higher,Bolivia,$PPP,Energy,0
Rural,Higher,Bolivia,Local Currency,Energy,0
Rural,Middle,Bolivia,US$,Energy,8.290954029
Rural,Middle,Bolivia,$PPP,Energy,18.457368154
Rural,Middle,Bolivia,Local Currency,Energy,58.177624423
Rural,Lowest,Bolivia,US$,Energy,12.269551484
Rural,Lowest,Bolivia,$PPP,Energy,27.314544023
Rural,Lowest,Bolivia,Local Currency,Energy,86.095442762
Rural,Low,Bolivia,US$,Energy,32.238899959
Rural,Low,Bolivia,$PPP,Energy,71.770419103
Rural,Low,Bolivia,Local Currency,Energy,226.220361013
Rural,All,Bolivia,US$,Energy,52.799405465
Rural,All,Bolivia,$PPP,Energy,117.542331265
Rural,All,Bolivia,Local Currency,Energy,370.493428148
Urban,Higher,Bolivia,US$,Energy,42.636409890
Urban,Higher,Bolivia,$PPP,Energy,94.917413769
Urban,Higher,Bolivia,Local Currency,Energy,299.179688199
Urban,Middle,Bolivia,US$,Energy,159.574112042
Urban,Middle,Bolivia,$PPP,Energy,355.244779250
Urban,Middle,Bolivia,Local Currency,Energy,1119.731544197
Urban,Lowest,Bolivia,US$,Energy,8.553396664
Urban,Lowest,Bolivia,$PPP,Energy,19.041619413
Urban,Lowest,Bolivia,Local Currency,Energy,60.019184390
Urban,Low,Bolivia,US$,Energy,148.769192811
Urban,Low,Bolivia,$PPP,Energy,331.190807727
Urban,Low,Bolivia,Local Currency,Energy,1043.913425957
Urban,All,Bolivia,US$,Energy,359.533111391
Urban,All,Bolivia,$PPP,Energy,800.394620124
Urban,All,Bolivia,Local Currency,Energy,2522.843842631
National,Higher,Bosnia and Herzegovina,US$,Energy,508.467886238
National,Higher,Bosnia and Herzegovina,$PPP,Energy,833.526157573
National,Higher,Bosnia and Herzegovina,Local Currency,Energy,751.007067973
National,Middle,Bosnia and Herzegovina,US$,Energy,587.480143238
National,Middle,Bosnia and Herzegovina,$PPP,Energy,963.050134920
National,Middle,Bosnia and Herzegovina,Local Currency,Energy,867.708171563
National,Lowest,Bosnia and Herzegovina,US$,Energy,1.639749561
National,Lowest,Bosnia and Herzegovina,$PPP,Energy,2.688024530
National,Lowest,Bosnia and Herzegovina,Local Currency,Energy,2.421910101
National,Low,Bosnia and Herzegovina,US$,Energy,83.857651197
National,Low,Bosnia and Herzegovina,$PPP,Energy,137.466982040
National,Low,Bosnia and Herzegovina,Local Currency,Energy,123.857750818
National,All,Bosnia and Herzegovina,US$,Energy,1181.445430044
National,All,Bosnia and Herzegovina,$PPP,Energy,1936.731298751
National,All,Bosnia and Herzegovina,Local Currency,Energy,1744.994900175
Rural,Higher,Bosnia and Herzegovina,US$,Energy,165.165647442
Rural,Higher,Bosnia and Herzegovina,$PPP,Energy,270.754341034
Rural,Higher,Bosnia and Herzegovina,Local Currency,Energy,243.949661272
Rural,Middle,Bosnia and Herzegovina,US$,Energy,310.508579636
Rural,Middle,Bosnia and Herzegovina,$PPP,Energy,509.013509569
Rural,Middle,Bosnia and Herzegovina,Local Currency,Energy,458.621172122
Rural,Lowest,Bosnia and Herzegovina,US$,Energy,1.392272213
Rural,Lowest,Bosnia and Herzegovina,$PPP,Energy,2.282337468
Rural,Lowest,Bosnia and Herzegovina,Local Currency,Energy,2.056386058
Rural,Low,Bosnia and Herzegovina,US$,Energy,62.838669252
Rural,Low,Bosnia and Herzegovina,$PPP,Energy,103.010781892
Rural,Low,Bosnia and Herzegovina,Local Currency,Energy,92.812714485
Rural,All,Bosnia and Herzegovina,US$,Energy,539.905168346
Rural,All,Bosnia and Herzegovina,$PPP,Energy,885.060969641
Rural,All,Bosnia and Herzegovina,Local Currency,Energy,797.439933646
Urban,Higher,Bosnia and Herzegovina,US$,Energy,343.302238833
Urban,Higher,Bosnia and Herzegovina,$PPP,Energy,562.771816599
Urban,Higher,Bosnia and Herzegovina,Local Currency,Energy,507.057406756
Urban,Middle,Bosnia and Herzegovina,US$,Energy,276.971563654
Urban,Middle,Bosnia and Herzegovina,$PPP,Energy,454.036625436
Urban,Middle,Bosnia and Herzegovina,Local Currency,Energy,409.086999518
Urban,Lowest,Bosnia and Herzegovina,US$,Energy,0.247477412
Urban,Lowest,Bosnia and Herzegovina,$PPP,Energy,0.405687166
Urban,Lowest,Bosnia and Herzegovina,Local Currency,Energy,0.365524137
Urban,Low,Bosnia and Herzegovina,US$,Energy,21.018982006
Urban,Low,Bosnia and Herzegovina,$PPP,Energy,34.456200247
Urban,Low,Bosnia and Herzegovina,Local Currency,Energy,31.045036423
Urban,All,Bosnia and Herzegovina,US$,Energy,641.540261743
Urban,All,Bosnia and Herzegovina,$PPP,Energy,1051.670329184
Urban,All,Bosnia and Herzegovina,Local Currency,Energy,947.554966594
National,Higher,Brazil,US$,Energy,8022.252233494
National,Higher,Brazil,$PPP,Energy,7976.903153598
National,Higher,Brazil,Local Currency,Energy,14111.141678716
National,Middle,Brazil,US$,Energy,14879.046230353
National,Middle,Brazil,$PPP,Energy,14794.936302539
National,Middle,Brazil,Local Currency,Energy,26172.242319191
National,Lowest,Brazil,US$,Energy,4032.034013897
National,Lowest,Brazil,$PPP,Energy,4009.241283463
National,Lowest,Brazil,Local Currency,Energy,7092.347830446
National,Low,Brazil,US$,Energy,13990.0013123
National,Low,Brazil,$PPP,Energy,13910.917076504
National,Low,Brazil,Local Currency,Energy,24608.412308336
National,All,Brazil,US$,Energy,40923.333789914
National,All,Brazil,$PPP,Energy,40691.997815974
National,All,Brazil,Local Currency,Energy,71984.144136458
Rural,Higher,Brazil,US$,Energy,538.366148589
Rural,Higher,Brazil,$PPP,Energy,535.322812532
Rural,Higher,Brazil,Local Currency,Energy,946.986055369
Rural,Middle,Brazil,US$,Energy,1205.989472643
Rural,Middle,Brazil,$PPP,Energy,1199.172121186
Rural,Middle,Brazil,Local Currency,Energy,2121.335482378
Rural,Lowest,Brazil,US$,Energy,750.466522028
Rural,Lowest,Brazil,$PPP,Energy,746.224201384
Rural,Lowest,Brazil,Local Currency,Energy,1320.070612248
Rural,Low,Brazil,US$,Energy,1622.665142621
Rural,Low,Brazil,$PPP,Energy,1613.492360582
Rural,Low,Brazil,Local Currency,Energy,2854.267985870
Rural,All,Brazil,US$,Energy,4117.487285782
Rural,All,Brazil,$PPP,Energy,4094.211495586
Rural,All,Brazil,Local Currency,Energy,7242.660135691
Urban,Higher,Brazil,US$,Energy,7483.886084917
Urban,Higher,Brazil,$PPP,Energy,7441.580341079
Urban,Higher,Brazil,Local Currency,Energy,13164.155623369
Urban,Middle,Brazil,US$,Energy,13673.056757736
